DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE DESCRIPTION	REPLICATION SAMPLE DESCRIPTION	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	7q35	7	143412046	EPHA1	EPHA1-AS1			285965			rs11767557-?	rs11767557	0	11767557	intron	0	0.81	6.00E-10	9.22184875		1.11	[1.08-1.16]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	7q35	7	143413669	EPHA1	EPHA1-AS1			285965			rs11771145-G	rs11771145	0	11771145	intron	0	0.662	1.00E-13	13		1.1111	[1.08-1.14]	"Illumina [7,055,881] (Imputed)"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	14q24.2	14	71040884	PCNX	PCNX			22990			rs11848070-C	rs11848070	0	11848070	intron	0	0.25	6.00E-06	5.22184875				"Affymetrix [614,963]"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	7q22.3	7	105640741	ATXN7L1	ATXN7L1			222255			rs11983798-T	rs11983798	0	11983798	intron	0	0.08	1.00E-06	6				"Affymetrix [614,963]"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	11p14.3	11	24589584	LUZP2	LUZP2			338645			rs12361953-C	rs12361953	0	12361953	intron	0	0.15	8.00E-07	6.096910013				"Affymetrix [614,963]"	N
6-Apr-11	21390209	Hu X	24-Feb-11	PLoS One	http://europepmc.org/abstract/MED/21390209	Meta-analysis for genome-wide association study identifies multiple variants at the BIN1 locus associated with late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	"1,831 European ancestry cases, 1,764 European ancestry controls"	"751 cases, 751 controls"	2q14.3	2	127130409	BIN1	BIN1 - CYP27C1	274	339761		23082	53427	rs12989701-?	rs12989701	0	12989701	intergenic	1	NR	3.00E-10	9.522878745		1.23	[NR]	Affymetrix and Illumina [NR] (imputed)	N
24-Aug-13	23571587	Reitz C	10-Apr-13	JAMA	http://europepmc.org/abstract/MED/23571587	"Variants in the ATP-binding cassette transporter (ABCA7), apolipoprotein E &#x000cf;&#x000b5;4,and the risk of late-onset Alzheimer disease in African Americans."	Alzheimer's disease (late onset)	"1,968 African American cases, 3,928 African American controls"		5q35.2	5	174587111	intergenic	SUMO2P6 - HIGD1AP3	100127922	100859920		25049	45818	rs145848414-A	rs145848414	0	145848414	intergenic	1	0.04	7.00E-08	7.15490196		2.29	[1.69-3.09]	"Illumina [17,332,474] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	7q22.1	7	100406823	ZCWPW1	ZCWPW1			55063			rs1476679-T	rs1476679	0	1476679	intron	0	0.713	6.00E-10	9.22184875		1.0989	[1.06-1.12]	"Illumina [7,055,881] (Imputed)"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	8p21.1	8	27608798	CLU	CLU			1191			rs1532278-?	rs1532278	0	1532278	intron	0	0.64	8.00E-08	7.096910013		1.12	[1.08-1.18]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	14q22.1	14	52933911	FERMT2	FERMT2			10979			rs17125944-C	rs17125944	0	17125944	intron	0	0.092	8.00E-09	8.096910013		1.14	[1.09-1.19]	"Illumina [7,055,881] (Imputed)"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	14q24.2	14	71199580	intergenic	PTTG4P - SNORD56B	326315	319139		113704	198757	rs17767225-T	rs17767225	0	17767225	intergenic	1	0.2	8.00E-06	5.096910013				"Affymetrix [614,963]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	5q14.3	5	88927603	MEF2C	MEF2C-AS1			101929423			rs190982-A	rs190982	0	190982	intron	0	0.592	3.00E-08	7.522878745		1.0753	[1.05-1.11]	"Illumina [7,055,881] (Imputed)"	N
14-Oct-10	20885792	Naj AC	23-Sep-10	PLoS Genet	http://europepmc.org/abstract/MED/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	"931 cases, 1,104 controls"	"1,338 cases, 2,003 controls"	"19q13.32, 19q13.32[rs2075650];"	19	44892362	"APOE, TOMM40"	TOMM40			10452			rs2075650-G	rs2075650	0	2075650	intron	0	0.2	5.00E-36	35.30103		2.94	[2.48-3.47]	"Illumina [483,399]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	14q32.33	14	106772332	IGH	IGH			3492			rs2337406-C	rs2337406	0	2337406		0	0.897	3.00E-07	6.522878745		1.1494	[1.09-1.2]	"Illumina [7,055,881] (Imputed)"	N
25-Nov-08	17553421	Reiman EM	7-Jun-07	Neuron	http://europepmc.org/abstract/MED/17553421	GAB2 alleles modify Alzheimer's risk in APOE epsilon4 carriers.	Alzheimer's disease (late onset)	"446 cases, 290 controls"	"415 cases, 260 controls"	11q14.1	11	78380104	GAB2	GAB2			9846			rs2373115-G	rs2373115	0	2373115	intron	0	0.7	1.00E-10	10		4.06	[2.81-14.69]	"Affymetrix[312,316]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	7p14.1	7	37801932	NME8	NECAP1P1 - NME8	442668	51314		215598	46665	rs2718058-A	rs2718058	0	2718058	intergenic	1	0.627	5.00E-09	8.301029996		1.0753	[1.05-1.11]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	8p21.2	8	27337604	PTK2B	PTK2B			2185			rs28834970-C	rs28834970	0	28834970	intron	0	0.366	7.00E-14	13.15490196		1.1	[1.08-1.13]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	2q37.1	2	233159830	INPP5D	INPP5D			3635			rs35349669-T	rs35349669	0	35349669	intron	0	0.488	3.00E-08	7.522878745		1.08	[1.05-1.11]	"Illumina [7,055,881] (Imputed)"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	19p13.3	19	1056493	ABCA7	ABCA7			10347			rs3752246-G	rs3752246	0	3752246	missense	0	0.19	6.00E-07	6.22184875		1.15	[1.09-1.21]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	19q13.41	19	51224706	CD33	CD33			945			rs3865444-C	rs3865444	0	3865444	nearGene-5	0	0.693	3.00E-06	5.522878745		1.06	[1.04-1.1]	"Illumina [7,055,881] (Imputed)"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	19q13.41	19	51224706	CD33	CD33			945			rs3865444-?	rs3865444	0	3865444	nearGene-5	0	0.7	2.00E-09	8.698970004		1.1	[1.08-1.14]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	1q24.2	1	167749262	MPZL1	MPZL1			9019			rs4145462-T	rs4145462	0	4145462	intron	0	0.05	1.00E-06	6				"Affymetrix [614,963]"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	2p24.1	2	23016071	intergenic	RNA5SP87 - KLHL29	100873320	114818		677068	369356	rs41458646-G	rs41458646	0	41458646	intergenic	1	0.17	8.00E-06	5.096910013				"Affymetrix [614,963]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	19p13.3	19	1063444	ABCA7	ABCA7			10347			rs4147929-A	rs4147929	0	4147929	intron	0	0.19	1.00E-15	15		1.15	[1.11-1.19]	"Illumina [7,055,881] (Imputed)"	N
25-Nov-08	17474819	Coon KD	1-Apr-07	J Clin Psychiatry	http://europepmc.org/abstract/MED/17474819	A high-density whole-genome association study reveals that APOE is the major susceptibility gene for sporadic late-onset Alzheimer's disease.	Alzheimer's disease (late onset)	"664 European ancestry cases, 422 European ancestry controls"	NA	19q13.32	19	44919689	APOE	APOC1			341			rs4420638-?	rs4420638	0	4420638	nearGene-3	0	NR	1.00E-39	39		4.01	[NR]	"Affymetrix[~502,627]"	N
14-Oct-10	20885792	Naj AC	23-Sep-10	PLoS Genet	http://europepmc.org/abstract/MED/20885792	Dementia revealed: novel chromosome 6 locus for late-onset Alzheimer disease provides genetic evidence for folate-pathway abnormalities.	Alzheimer's disease (late onset)	"931 cases, 1,104 controls"	"1,338 cases, 2,003 controls"	"2q12.3, 2q13"	2	109018801	intergenic	EDAR - SH3RF3-AS1	10913	100287216		29429	108526	rs4676049-A	rs4676049	0	4676049	intergenic	1	0.08	4.00E-08	7.397940009		1.76	[1.44-2.15]	"Illumina [483,399]"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	11q24.2	11	126035363	CDON	CDON			50937			rs472926-C	rs472926	0	472926	intron	0	0.15	3.00E-06	5.522878745				"Affymetrix [614,963]"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	11q24.3	11	128319206	intergenic	KIRREL3-AS3 - ETS1	283165	2113		1313148	139555	rs4937314-C	rs4937314	0	4937314	intergenic	1	0.17	7.00E-06	5.15490196				"Affymetrix [614,963]"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	11q12.2	11	60266956	MS4A4A	MIR6503 - MS4A4A	102465250	51338		57800	13585	rs4938933-?	rs4938933	0	4938933	intergenic	1	0.61	8.00E-12	11.09691001		1.12	[1.09-1.15]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
12-Jul-13	23565137	Miyashita A	2-Apr-13	PLoS One	http://europepmc.org/abstract/MED/23565137	"SORL1 is genetically associated with late-onset Alzheimer's disease in Japanese, Koreans and Caucasians."	Alzheimer's disease (late onset)	"891 Japanese ancestry cases, 844 Japanese ancestry controls"	"1,224 East Asian ancestry cases, 2,114 East Asian ancestry controls, 11,840 European ancestry cases, 10,931 European ancestry controls"	19q13.32	19	44873027	"APOE, BCL3, CEACAM16, PPP1R37, TOMM40, PVRL2"	PVRL2			5819			rs519113-G	rs519113	0	519113	intron	0	0.29	5.00E-39	38.30103	(Japanese)	2.09	[1.87-2.34]	"Affymetrix [5,877,918] (Imputed)"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	11q14.2	11	86089237	PICALM	PICALM - FNTAP1	8301	283226		19356	105894	rs561655-?	rs561655	0	561655	intergenic	1	0.66	7.00E-11	10.15490196		1.15	[1.10-1.19]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	20p12.3	20	6999988	intergenic	BMP2 - MIR8062	650	102465865		219725	371620	rs6085820-A	rs6085820	0	6085820	intergenic	1	0.09	9.00E-06	5.045757491				"Affymetrix [614,963]"	N
4-Apr-11	21379329	Wijsman EM	17-Feb-11	PLoS Genet	http://europepmc.org/abstract/MED/21379329	Genome-wide association of familial late-onset Alzheimer's disease replicates BIN1 and CLU and nominates CUGBP2 in interaction with APOE.	Alzheimer's disease (late onset)	"1,848 European ancestry affected individuals, 1,991 European ancestry unaffected individuals"	"231 Caribbean Hispanic cases, 187 Caribbean Hispanic controls, 386 European ancestry cases, 386 European ancestry controls"	10p14	10	10958376	CUGBP2	CELF2			10659			rs62209-C	rs62209	0	62209	intron	0	NR	2.00E-07	6.698970004		2.04	[1.56-2.67] ((among APOE E4 homozygotes))	"Illumina [565,336]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	4p15.33	4	11628425	HS3ST1	RNA5SP156 - HSP90AB2P	100873422	391634		214265	1707962	rs6448799-T	rs6448799	0	6448799	intergenic	1	0.3	7.00E-08	7.15490196		1.08	[1.05-1.11]	"Illumina [7,055,881] (Imputed)"	N
19-Nov-12	22881374	Cummings AC	1-Sep-12	Ann Hum Genet	http://europepmc.org/abstract/MED/22881374	Genome-wide association and linkage study in the Amish detects a novel candidate late-onset Alzheimer disease gene.	Alzheimer's disease (late onset)	"109 Amish cases, 689 Amish controls"	NA	8q22.3	8	102963761	intergenic	LOC100996457			100996457			rs6468852-G	rs6468852	0	6468852		0	0.13	1.00E-06	6				"Affymetrix [614,963]"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	"1q32.2, 1q32.2[rs6656401]; 1q32.2[rs3818361]"	1	207518704	CR1	CR1			1378			rs6656401-A	rs6656401	0	6656401	intron	0	0.197	6.00E-24	23.22184875		1.18	[1.14-1.22]	"Illumina [7,055,881] (Imputed)"	N
16-Apr-14	24162737	European Alzheimer's Disease Initiative (EADI)	27-Oct-13	Nat Genet	http://europepmc.org/abstract/MED/24162737	"Meta-analysis of 74,046 individuals identifies 11 new susceptibility loci for Alzheimer's disease."	Alzheimer's disease (late onset)	"17,008 European ancestry cases, 37,154 European ancestry controls"	"8,572 European ancestry cases, 11,312 European ancestry controls"	1q31.2	1	193656103	intergenic	B3GALT2 - RPL23AP22	8707	100271291		469490	100710	rs6678275-C	rs6678275	0	6678275	intergenic	1	0.169	3.00E-07	6.522878745		1.09	[1.05-1.13]	"Illumina [7,055,881] (Imputed)"	N
24-May-11	21460841	Naj AC	3-Apr-11	Nat Genet	http://europepmc.org/abstract/MED/21460841	"Common variants at MS4A4/MS4A6E, CD2AP, CD33 and EPHA1 are associated with late-onset Alzheimer's disease."	Alzheimer's disease (late onset)	"8,309 European ancestry cases, 7,366 European ancestry controls"	"10,523 European ancestry cases, 28,231 European ancestry controls"	1q32.2	1	207612944	CR1	CR1			1378			rs6701713-A	rs6701713	0	6701713	intron	0	0.2	5.00E-10	9.301029996		1.16	[1.11-1.22]	"Affymetrix & Illumina [2,324,889] (imputed)"	N
